ess_criterion,habitual_tendency,repetition,episode,n_samples
500,1.0,1,1,29628
500,1.0,1,2,27400
500,1.0,1,3,20217
500,1.0,1,4,15760
500,1.0,1,5,17615
500,1.0,1,6,14893
500,1.0,1,7,13461
500,1.0,1,8,13143
500,1.0,1,9,13990
500,1.0,1,10,11187
500,1.0,1,11,8142
500,1.0,1,12,9328
500,1.0,1,13,8476
500,1.0,1,14,8859
500,1.0,1,15,7537
500,1.0,1,16,6320
500,1.0,1,17,10136
500,1.0,1,18,7529
500,1.0,1,19,6674
500,1.0,1,20,6707
500,1.0,1,21,5251
500,1.0,1,22,6361
500,1.0,1,23,5138
500,1.0,1,24,5773
500,1.0,1,25,6345
500,1.0,1,26,5428
500,1.0,1,27,5542
500,1.0,1,28,4897
500,1.0,1,29,4420
500,1.0,1,30,4644
500,1.0,1,31,4822
500,1.0,1,32,4014
500,1.0,1,33,4511
500,1.0,1,34,4741
500,1.0,1,35,4197
500,1.0,1,36,4781
500,1.0,1,37,3912
500,1.0,1,38,4136
500,1.0,1,39,3903
500,1.0,1,40,3249
500,1.0,1,41,4441
500,1.0,1,42,3804
500,1.0,1,43,3510
500,1.0,1,44,3435
500,1.0,1,45,3281
500,1.0,1,46,3624
500,1.0,1,47,3823
500,1.0,1,48,3608
500,1.0,1,49,3610
500,1.0,1,50,3037
500,1.0,2,1,29011
500,1.0,2,2,23700
500,1.0,2,3,19025
500,1.0,2,4,19000
500,1.0,2,5,19883
500,1.0,2,6,17003
500,1.0,2,7,11635
500,1.0,2,8,13076
500,1.0,2,9,12932
500,1.0,2,10,11704
500,1.0,2,11,11379
500,1.0,2,12,10714
500,1.0,2,13,10395
500,1.0,2,14,8719
500,1.0,2,15,7362
500,1.0,2,16,5912
500,1.0,2,17,6043
500,1.0,2,18,7280
500,1.0,2,19,5796
500,1.0,2,20,6719
500,1.0,2,21,6216
500,1.0,2,22,7157
500,1.0,2,23,4081
500,1.0,2,24,7484
500,1.0,2,25,5772
500,1.0,2,26,4366
500,1.0,2,27,4289
500,1.0,2,28,4901
500,1.0,2,29,4027
500,1.0,2,30,5551
500,1.0,2,31,5401
500,1.0,2,32,2907
500,1.0,2,33,3264
500,1.0,2,34,3702
500,1.0,2,35,2953
500,1.0,2,36,2408
500,1.0,2,37,6303
500,1.0,2,38,4018
500,1.0,2,39,3438
500,1.0,2,40,3375
500,1.0,2,41,3800
500,1.0,2,42,4021
500,1.0,2,43,4163
500,1.0,2,44,3816
500,1.0,2,45,2756
500,1.0,2,46,4694
500,1.0,2,47,4078
500,1.0,2,48,3308
500,1.0,2,49,3002
500,1.0,2,50,2572
500,1.0,3,1,42216
500,1.0,3,2,28239
500,1.0,3,3,38647
500,1.0,3,4,19810
500,1.0,3,5,21685
500,1.0,3,6,14358
500,1.0,3,7,17818
500,1.0,3,8,13838
500,1.0,3,9,13522
500,1.0,3,10,10553
500,1.0,3,11,11706
500,1.0,3,12,10276
500,1.0,3,13,9894
500,1.0,3,14,7454
500,1.0,3,15,7287
500,1.0,3,16,7220
500,1.0,3,17,8279
500,1.0,3,18,8085
500,1.0,3,19,6719
500,1.0,3,20,8063
500,1.0,3,21,6770
500,1.0,3,22,6044
500,1.0,3,23,6809
500,1.0,3,24,5741
500,1.0,3,25,5437
500,1.0,3,26,5725
500,1.0,3,27,5463
500,1.0,3,28,6254
500,1.0,3,29,4619
500,1.0,3,30,4481
500,1.0,3,31,4222
500,1.0,3,32,4161
500,1.0,3,33,4301
500,1.0,3,34,5254
500,1.0,3,35,4419
500,1.0,3,36,3982
500,1.0,3,37,4226
500,1.0,3,38,4277
500,1.0,3,39,4212
500,1.0,3,40,3410
500,1.0,3,41,3206
500,1.0,3,42,3480
500,1.0,3,43,3558
500,1.0,3,44,3133
500,1.0,3,45,3674
500,1.0,3,46,3926
500,1.0,3,47,3758
500,1.0,3,48,3536
500,1.0,3,49,4621
500,1.0,3,50,3335
500,1.0,4,1,32900
500,1.0,4,2,28084
500,1.0,4,3,24717
500,1.0,4,4,19210
500,1.0,4,5,15100
500,1.0,4,6,17383
500,1.0,4,7,19012
500,1.0,4,8,13504
500,1.0,4,9,9671
500,1.0,4,10,12317
500,1.0,4,11,8929
500,1.0,4,12,8604
500,1.0,4,13,9256
500,1.0,4,14,7877
500,1.0,4,15,8435
500,1.0,4,16,10486
500,1.0,4,17,6540
500,1.0,4,18,7540
500,1.0,4,19,6984
500,1.0,4,20,5982
500,1.0,4,21,5914
500,1.0,4,22,7286
500,1.0,4,23,6411
500,1.0,4,24,4801
500,1.0,4,25,5527
500,1.0,4,26,4556
500,1.0,4,27,5063
500,1.0,4,28,4811
500,1.0,4,29,5061
500,1.0,4,30,3894
500,1.0,4,31,4721
500,1.0,4,32,4097
500,1.0,4,33,3918
500,1.0,4,34,4641
500,1.0,4,35,3457
500,1.0,4,36,4000
500,1.0,4,37,3294
500,1.0,4,38,4029
500,1.0,4,39,3619
500,1.0,4,40,4133
500,1.0,4,41,5070
500,1.0,4,42,3170
500,1.0,4,43,4610
500,1.0,4,44,3634
500,1.0,4,45,3563
500,1.0,4,46,3349
500,1.0,4,47,3292
500,1.0,4,48,3443
500,1.0,4,49,3150
500,1.0,4,50,2705
